ID,Many,Few
1,"Один оборот вокруг Земли спутник делает за три часа и 20 минут, а другой - за 185 минут и 900 с. Как это может быть?","Один оборот вокруг Земли спутник делает за час и 40 минут, а другой - за 100 минут. Как это может быть?"
2,"В отеле 7 этажей. На первом разместились четыре человека, на каждом последующем - на 2 больше, чем на предыдущем. На каком этаже отеля чаще всего вызывают лифт?",В отеле 7 этажей. На каком этаже отеля чаще всего вызывают лифт?
3,"Предположим, что на границе между Соединенными Штатами Америки и Канадой произошла авиационная катастрофа. Похороны каждого пассажира в Канаде стоят 480 канадских долларов (53 рубля за доллар), а в США – 350 американских долларов (72 рубля за доллар). В какой из двух стран, по вашему мнению, дешевле похоронить уцелевших пассажиров?","Предположим, что на границе между Соединенными Штатами Америки и Канадой произошла авиационная катастрофа. В какой из двух стран, по вашему мнению, должны быть похоронены уцелевшие пассажиры?"
4,"Перед Вами математическое выражение, представленное римскими цифрами. Необходимо сделать выражение верным, передвинув только 1 спичку. Но есть ряд правил:
1) передвинуть можно только 1 спичку
2) спичку нельзя отбросить, можно только изменить ее местоположение
3) прямая палочка не считается наклонной палочкой, т.е. |/ не \/
4) результатом считается верное арифметическое равенство
XIII + I = XI","Перед Вами математическое выражение, представленное римскими цифрами. Необходимо сделать выражение верным, передвинув только 1 спичку. Но есть ряд правил:
1) передвинуть можно только 1 спичку
2) спичку нельзя отбросить, можно только изменить ее местоположение
3) прямая палочка не считается наклонной палочкой, т.е. |/ не \/
4) результатом считается верное арифметическое равенство
X + IV = V"
5,"Перед Вами математическое выражение, представленное римскими цифрами. Необходимо сделать выражение верным, передвинув только 1 спичку. Но есть ряд правил:
1) передвинуть можно только 1 спичку
2) спичку нельзя отбросить, можно только изменить ее местоположение
3) прямая палочка не считается наклонной палочкой, т.е. |/ не \/
4) результатом считается верное арифметическое равенство
XIII – I = VII","Перед Вами математическое выражение, представленное римскими цифрами. Необходимо сделать выражение верным, передвинув только 1 спичку. Но есть ряд правил:
1) передвинуть можно только 1 спичку
2) спичку нельзя отбросить, можно только изменить ее местоположение
3) прямая палочка не считается наклонной палочкой, т.е. |/ не \/
4) результатом считается верное арифметическое равенство
XI – I = V"
6,Может ли мужчина законно жениться на дочери от первого брака отца своей вдовы? Почему?,Может ли мужчина законно жениться на сестре своей вдовы? Почему?
7,"У фермера в Калифорнии есть прекрасное грушевое дерево. Фрукты с него он поставляет в ближайший продуктовый магазин. Однажды владелец магазина позвонил фермеру и спросил, как много плодов тот сможет доставить в магазин в ближайшее время. Фермер знал, что на стволе есть 24 ветви, на каждой ветви находится ровно 6 веточек, а на каждой веточке растет по 1 фрукту. Как много слив фермер сможет доставить? ","У фермера в Калифорнии есть прекрасное грушевое дерево. Фрукты с него он поставляет в ближайший продуктовый магазин. Однажды владелец магазина позвонил фермеру и спросил, как много плодов тот сможет доставить в магазин в ближайшее время. Фермер знал, сколько на стволе ветвей, сколько на каждой ветви находится веточек, и сколько на каждой веточке растет фруктов. Как много слив фермер сможет доставить?"
8,"Сколько кубических сантиметров земли в яме, объем которой 16 м в длину, 12 м в ширину и 2 м в глубину? Помните, что 1 м³ = 1000000 см³","Сколько кубических метров земли в яме, объем которой 6 м в длину, 2 м в ширину и 1 м в глубину? "
9,"Когда инженер Скотт вышел на прогулку, начался дождь. Он не взял с собой ни зонт, ни шляпу, и вся его одежда стала мокрой. Однако ни один волос на его голове не промок. Как такое могло быть? Мог ли он использовать специальное изобретение? Предложите самое простое из возможных объяснений","Когда капитан Скотт вышел на прогулку, начался дождь. Он не взял с собой ни зонт, ни шляпу, и вся его одежда стала мокрой. Однако ни один волос на его голове не промок. Как такое могло быть? "
10,"Павел несет наволочку 70*70 см, наполненную перьями с плотностью 0.5 г/см3 и весом 1.2 кг. Марк несет 3 наволочки такого же размера, что у Павла, но весящие намного легче. Как такое может быть?","Павел несет наволочку, наполненную перьями. Марк несет 3 наволочки такого же размера, что у Павла, но весящие намного легче. Как такое может быть? "
11,"В провинции Онтарио есть город, где 5% всех жителей имеют незарегистрированные номера телефонов. Известно также, что фамилии 3% из них начинаются на букву «М», а всего в городе 15000 жителей. Если бы Вы выбрали 100 имен из телефонной книги города, начиная с буквы «К», у скольких из этих людей были бы незарегистрированные номера?","В провинции Онтарио есть город, где 5% всех жителей имеют незарегистрированные номера телефонов. Скольким людям из телефонной книги Вам бы пришлось позвонить, чтобы точно обнаружить хотя бы 1 человека с незарегистрированным номером?"
12,"Заключённый пытался сбежать из башни, находящейся на высоте 6 м. Он нашёл в своей камере верёвку (плотный канат, длина = 3 м), 4 гвоздя, деревянную доску (20*20*5 см) и С-образный зажим. Заключенный смог сбежать из башни, разделив верёвку пополам и связав две части между собой. Как у него это получилось?","Заключённый пытался сбежать из башни. Он нашёл в своей камере верёвку, длина которой была вдвое меньше, чем нужно для того, чтобы безопасно покинуть башню. Он разделил верёвку пополам и, связав две части между собой, выбрался. Как у него это получилось?"
